[1st Line of Query]                                            [Stripped 1st Line]                                    [Generated Tag]
create schema sample_schema                                    create schema sample_schema                            *create-schema~sample_schema               
create or replace schema sample_schema                         create schema sample_schema                            *create-schema~sample_schema               
create or replace table sample_table as                        create table sample_table                              *create-table~sample_table                 
create or replace temp table sample_table as                   create table sample_table                              *create-table~sample_table                 
create or replace transient table sample_table as              create table sample_table                              *create-table~sample_table                 
create table sample_table as                                   create table sample_table                              *create-table~sample_table                 
create transient table sample_table as                         create table sample_table                              *create-table~sample_table                 
create temp table sample_table as                              create table sample_table                              *create-table~sample_table                 
create or replace table sample_table as with                   create table sample_table                              *create-table~sample_table                 
create or replace transient table sample_table as with         create table sample_table                              *create-table~sample_table                 
create or replace temp table sample_table as with              create table sample_table                              *create-table~sample_table                 
create table sample_table as with                              create table sample_table                              *create-table~sample_table                 
create transient table sample_table as with                    create table sample_table                              *create-table~sample_table                 
create temp table sample_table as with                         create table sample_table                              *create-table~sample_table                 
create or replace table sample_table (                         create table sample_table                              *create-table~sample_table                 
create or replace transient table sample_table (               create table sample_table                              *create-table~sample_table                 
create or replace temp table sample_table (                    create table sample_table                              *create-table~sample_table                 
create table sample_table (                                    create table sample_table                              *create-table~sample_table                 
create transient table sample_create_transient_ddl (           create table sample_create_transient_ddl               *create-table~sample_create_transient_ddl  
create temp table sample_create_temp_ddl (                     create table sample_create_temp_ddl                    *create-table~sample_create_temp_ddl       
drop table sample_table                                        drop table sample_table                                *drop-table~sample_table                   
drop table if exists sample_table                              drop table sample_table                                *drop-table~sample_table                   
drop schema sample_schema                                      drop schema sample_schema                              *drop-schema~sample_schema                 
drop schema if exists sample_schema                            drop schema sample_schema                              *drop-schema~sample_schema                 
select                                                         select                                                 *select-data~#25                           
select * from sample_table a                                   select * sample_table                                  *select-data~#26                           
select count(*) from sample_table d                            select count * sample_table                            *select-data~#27                           
update sample_table a                                          update sample_table                                    *update-table~sample_table                 
insert into sample_table (                                     insert into sample_table                               *insert-into~sample_table                  
delete from sample_table a                                     delete sample_table                                    *generic-delete~#30                        
set sample_param = 1                                           set sample_param =                                     *set-param~sample_param                    
set sample_param = (select max(sample_col) from sample_table)  set sample_param = select max sample_col sample_table  *set-param~sample_param                    
unset sample_param                                             unset sample_param                                     *unset-param~sample_param
               
